Job Title,Company,Location,Link
Data Analyst I,Acorns,United States,https://www.linkedin.com/jobs/view/data-analyst-i-at-acorns-4358261093?position=1&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=EpMXkuEsP4RZAWAQ1xtEnQ%3D%3D
Data Analyst,IDB Bank,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-idb-bank-4409366309?position=2&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=r6umWsYKHaqlgz%2FXcscC8Q%3D%3D
Data Analyst,ExxonMobil,"Houston, TX",https://www.linkedin.com/jobs/view/data-analyst-at-exxonmobil-4337073004?position=3&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=DhCWMyYe1BM8EvNmfGHOZA%3D%3D
"Data Analyst, Production Finance Operations & Innovation",Netflix,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-production-finance-operations-innovation-at-netflix-4356282744?position=4&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=miD88072DrGiZP4kvCaUkQ%3D%3D
"Data Analyst – Operations: Manhattan, NY",CAVA,"Manhattan, NY",https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-operations-manhattan-ny-at-cava-4411820542?position=5&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=ZVImEj53iI6gbmVvlD9GIg%3D%3D
Product Analyst,Tinder,"New York, NY",https://www.linkedin.com/jobs/view/product-analyst-at-tinder-4405382075?position=6&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=dHSdxYUXgFvnV3JogyF6%2Bg%3D%3D
Data Analyst - Kiewit Data Services,Kiewit,"Lenexa, KS",https://www.linkedin.com/jobs/view/data-analyst-kiewit-data-services-at-kiewit-4409389236?position=7&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=3r1rHUXnAf9wq81IuBSyeQ%3D%3D
"Data Analyst – Operations: Washington, DC",CAVA,Washington DC-Baltimore Area,https://www.linkedin.com/jobs/view/data-analyst-%E2%80%93-operations-washington-dc-at-cava-4411639478?position=8&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=ELRSLXW0CMDigQ8kn8fOOQ%3D%3D
Data Analyst,Veriforce,"Burlington, MA",https://www.linkedin.com/jobs/view/data-analyst-at-veriforce-4400091707?position=9&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=%2BIYDUqfsteW2D8QMcwoNZg%3D%3D
Data Analyst - Kiewit Data Services,Kiewit,"Omaha, NE",https://www.linkedin.com/jobs/view/data-analyst-kiewit-data-services-at-kiewit-4409394173?position=10&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=DE6JacLat6sBGOFm%2FJONUg%3D%3D
Data Analyst,Veriforce,"Houston, TX",https://www.linkedin.com/jobs/view/data-analyst-at-veriforce-4400078767?position=11&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=DtUZiRfiNo3rYbR8wSo1mQ%3D%3D
Data Analyst,Celigo,United States,https://www.linkedin.com/jobs/view/data-analyst-at-celigo-4404119732?position=12&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=c8E1YRqdJdd4%2F5RloLeLhw%3D%3D
Data Analyst,Ascendion,"Chicago, IL",https://www.linkedin.com/jobs/view/data-analyst-at-ascendion-4409379129?position=13&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=qmoPmQcZUZtUlNAVYZsHPw%3D%3D
Data Analyst,Clay,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-analyst-at-clay-4366524915?position=14&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=%2B%2Fb%2BhAMiaZcJF9gPR3QEEw%3D%3D
Data Analyst,Haystack,United States,https://www.linkedin.com/jobs/view/data-analyst-at-haystack-4409344380?position=15&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=YF7LQUbgbFps6MPaqlSWmQ%3D%3D
Data Analyst,Analytica,"Bethesda, MD",https://www.linkedin.com/jobs/view/data-analyst-at-analytica-4408883721?position=16&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=sEU6PWfcjG4GrHyLTdWE%2Fg%3D%3D
Data Analyst (Central Analytics),Hadrian,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-central-analytics-at-hadrian-4398603049?position=17&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=%2BdEtbJ9FUx2loQbRCj2qzA%3D%3D
"Data Analyst, Baseball Data Platform",Major League Baseball (MLB),"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-baseball-data-platform-at-major-league-baseball-mlb-4405593029?position=18&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=TdINlQA0K9ldoQnhJH0ffQ%3D%3D
Business Intelligence Analyst / Data Analyst (SQL),Waymo,"San Francisco, CA",https://www.linkedin.com/jobs/view/business-intelligence-analyst-data-analyst-sql-at-waymo-4397286248?position=19&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=w5Mp7djhfms0jSmwZCecWg%3D%3D
Data Analyst,Synergis,"Cupertino, CA",https://www.linkedin.com/jobs/view/data-analyst-at-synergis-4405921676?position=20&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=ydoY%2B33xfmRAV%2BYRsIQl6w%3D%3D
Data Analyst,Gerdau North America,"Tampa, FL",https://www.linkedin.com/jobs/view/data-analyst-at-gerdau-north-america-4390544602?position=21&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=ZMLf8SM21Ie70NvEIodTWQ%3D%3D
Data Analyst,Merchants Bank IN,"Carmel, IN",https://www.linkedin.com/jobs/view/data-analyst-at-merchants-bank-in-4408019714?position=22&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=gYQdzHz2lfzL%2Fu2jTXi3qg%3D%3D
Business Intelligence Analyst / Data Analyst (SQL),Waymo,"Mountain View, CA",https://www.linkedin.com/jobs/view/business-intelligence-analyst-data-analyst-sql-at-waymo-4397293199?position=23&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=AKVIAKsUR%2B%2F%2Bc%2FcCUafWfQ%3D%3D
Data Analyst,Analytica,"Bethesda, MD",https://www.linkedin.com/jobs/view/data-analyst-at-analytica-4405575315?position=24&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=uBSOWnAPChoDiVuqVDSFyg%3D%3D
Data Analyst I,Stackline,"Seattle, WA",https://www.linkedin.com/jobs/view/data-analyst-i-at-stackline-4378208082?position=25&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=xheLZGQq6xtZAcbg1Hs8ug%3D%3D
Product Data Analyst,Purple Squirrel Enterprises,"Northern Virginia, VA",https://www.linkedin.com/jobs/view/product-data-analyst-at-purple-squirrel-enterprises-4410579057?position=26&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=86Z%2FzZTBe1EwqKvWY7xc6A%3D%3D
Data Analyst,Prosum,United States,https://www.linkedin.com/jobs/view/data-analyst-at-prosum-4406915365?position=27&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=3%2Bl3nIoVVW7xBNngnqJNWw%3D%3D
Customer Data Analyst,EXPRESS,"Columbus, Ohio Metropolitan Area",https://www.linkedin.com/jobs/view/customer-data-analyst-at-express-4391396488?position=28&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=CTS5pE14mbKtrg%2BWM8AE3g%3D%3D
Data Analyst,CAVA,"Washington, DC",https://www.linkedin.com/jobs/view/data-analyst-at-cava-4395712913?position=29&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=nTulNhP1TmAtg3fMZestPg%3D%3D
Data Analyst,Funko,"Everett, WA",https://www.linkedin.com/jobs/view/data-analyst-at-funko-4410226372?position=30&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=guu3E4KNE8l014E8K0u2Fg%3D%3D
"Data Analyst, Merchandising",REVOLVE,"Cerritos, CA",https://www.linkedin.com/jobs/view/data-analyst-merchandising-at-revolve-4408315687?position=31&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=6EEHOnRKaWCOv2hNBUPM%2Bw%3D%3D
Data Analyst,ADF Medical,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-adf-medical-4406389112?position=32&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=St7bWaIxC4Qd86SXf3cLKw%3D%3D
Data Analyst,Wilson Elser,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-wilson-elser-4405704376?position=33&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=qAunneAX%2FGVDcOHZ3oUgAw%3D%3D
Data Analyst,Realtor.com,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-realtor-com-4306059912?position=34&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=okTtOw5uM6KhTgXnydMhGw%3D%3D
Data Analyst: 26-01315,"Akraya, Inc.","Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-26-01315-at-akraya-inc-4411641743?position=35&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=B%2F4Oto9a%2BdE3h0iHbU58Ag%3D%3D
Data Analyst,Prestige Staffing,"New York, NY",https://www.linkedin.com/jobs/view/data-analyst-at-prestige-staffing-4372619451?position=36&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=3YxPChsRg2gZ33vWLkSexw%3D%3D
Data Analyst,The Home Depot,"Pomona, CA",https://www.linkedin.com/jobs/view/data-analyst-at-the-home-depot-4405360356?position=37&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=vGkCoX6mKF0AAlRg%2FzcpIw%3D%3D
Data Analyst | Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-at-crossing-hurdles-4387337796?position=38&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=J9OkRAIwjRa7kkjMO3XmbA%3D%3D
"Data Analyst, Digital Finance",Warner Music Group,"Los Angeles, CA",https://www.linkedin.com/jobs/view/data-analyst-digital-finance-at-warner-music-group-4408700512?position=39&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=CueiAt%2BXOl5%2B7AHB77%2Bl%2Fg%3D%3D
Junior Data Analyst - New York,ARQ,"New York, United States",https://www.linkedin.com/jobs/view/junior-data-analyst-new-york-at-arq-4409402671?position=40&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=2lAxAa0ofkVzY7JxAm6Q5Q%3D%3D
Data Analyst,Mainz Brady Group,"Glendale, CA",https://www.linkedin.com/jobs/view/data-analyst-at-mainz-brady-group-4409373342?position=41&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=AljGGm6b2p20oh68B%2Bp7cg%3D%3D
"Data Analyst, Data Intelligence",Acrisure,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-data-intelligence-at-acrisure-4395303521?position=42&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=DEiEXHlnvvazXnLh2J9iXA%3D%3D
"Analyst, Business Data",Herbalife,"Torrance, CA",https://www.linkedin.com/jobs/view/analyst-business-data-at-herbalife-4406672763?position=43&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=YLrcG32N3Tc%2FKw0bqPs2zA%3D%3D
Data Analyst I,Robert Half,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-i-at-robert-half-4411391195?position=44&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=43LLezVXeghwkl3gVjqqLw%3D%3D
Senior Data Analyst,SKIMS,"Los Angeles, CA",https://www.linkedin.com/jobs/view/senior-data-analyst-at-skims-4407534333?position=45&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=Seape5F0yOSr2xb%2FooUnig%3D%3D
Data Analyst - Remote,CodeGeniusRecruit,United States,https://www.linkedin.com/jobs/view/data-analyst-remote-at-codegeniusrecruit-4407378255?position=46&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=GWsBnSzHeaOXuS%2BYGoCLxA%3D%3D
Global Data Analyst,Dermalogica,"Carson, CA",https://www.linkedin.com/jobs/view/global-data-analyst-at-dermalogica-4407124320?position=47&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=wPdiarWYOFui5xlIPMFvHg%3D%3D
Junior Data Analyst,Helic & Co.,United States,https://www.linkedin.com/jobs/view/junior-data-analyst-at-helic-co-4412110537?position=48&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=Fl00hdYqURjTI%2BAtGg%2B7AQ%3D%3D
Data Analyst,ECLARO,"White Plains, NY",https://www.linkedin.com/jobs/view/data-analyst-at-eclaro-4409621475?position=49&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=1nQHUIhBKCMZ0DNOHfX%2FJQ%3D%3D
Data Analyst,Harvey Nash,"Austin, TX",https://www.linkedin.com/jobs/view/data-analyst-at-harvey-nash-4410854948?position=50&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=8peMOqniYvl7e1QtZ7mGDA%3D%3D
Data Analyst,Fidelity Investments,"Smithfield, RI",https://www.linkedin.com/jobs/view/data-analyst-at-fidelity-investments-4405157570?position=51&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=IP1bUEmkrhJmIwYr%2BZV4vw%3D%3D
Data Analyst II,Lennar,"Miami, FL",https://www.linkedin.com/jobs/view/data-analyst-ii-at-lennar-4397413399?position=52&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=kxTo22Foac1J9cltlflGMA%3D%3D
Data Analyst,Swoon,"Chicago, IL",https://www.linkedin.com/jobs/view/data-analyst-at-swoon-4406210613?position=53&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=d%2F%2FqLdODsk3siMgYx7sx2Q%3D%3D
Data Analyst | $80/hr Remote,Crossing Hurdles,United States,https://www.linkedin.com/jobs/view/data-analyst-%2480-hr-remote-at-crossing-hurdles-4405767381?position=54&pageNum=0&refId=yApRowzKwaDzaGUBxRLZVw%3D%3D&trackingId=fY7U2xl0bt%2B3ZuloWjenDw%3D%3D
